order_id,customer_id,product_id,order_date,qty,unit_price,discount_pct,status,reject_reason
O0007,C046,P001,2026-08-04,-2,996.79,0,paid,invalid_order_fields
O0021,C014,P005,2026-08-04,2,1299.0,150,cancelled,invalid_order_fields
O0034,C041,P004,,2,390.89,0,paid,invalid_order_fields
O0091,C019,P015,2026-08-01,2,-100.0,5,completed,invalid_order_fields
O0003,C042,P013,2026-08-01,1,1390.08,10,pending,status_not_paid_or_completed
O0008,C015,P005,2026-08-04,3,1299.0,0,pending,status_not_paid_or_completed
O0009,C055,P013,2026-08-01,2,1390.08,10,pending,status_not_paid_or_completed
O0010,C009,P008,2026-08-01,4,330.64,0,pending,status_not_paid_or_completed
O0012,C007,P012,2026-08-01,1,686.96,0,pending,status_not_paid_or_completed
O0014,C033,P002,2026-08-03,1,757.5,5,cancelled,status_not_paid_or_completed
O0017,C035,P006,2026-08-03,2,1322.8,0,cancelled,status_not_paid_or_completed
O0019,C029,P009,2026-08-04,3,754.77,0,cancelled,status_not_paid_or_completed
O0020,C033,P014,2026-08-02,3,586.17,10,cancelled,status_not_paid_or_completed
O0022,C032,P004,2026-08-04,4,390.89,0,cancelled,status_not_paid_or_completed
O0023,C001,P010,2026-08-01,4,1072.6,0,cancelled,status_not_paid_or_completed
O0026,C016,P008,2026-08-01,4,330.64,5,pending,status_not_paid_or_completed
O0032,C045,P009,2026-08-01,4,754.77,10,pending,status_not_paid_or_completed
O0033,C053,P009,2026-08-04,2,754.77,0,cancelled,status_not_paid_or_completed
O0035,C059,P012,2026-08-01,3,686.96,5,cancelled,status_not_paid_or_completed
O0039,C026,P011,2026-08-01,1,1236.35,0,cancelled,status_not_paid_or_completed
O0040,C044,P006,2026-08-01,3,1322.8,5,cancelled,status_not_paid_or_completed
O0045,C021,P007,2026-08-03,4,344.97,5,pending,status_not_paid_or_completed
O0047,C012,P007,2026-08-02,4,344.97,5,pending,status_not_paid_or_completed
O0049,C999,P002,2026-08-04,4,757.5,0,cancelled,status_not_paid_or_completed
O0051,C053,P015,2026-08-01,4,750.94,5,cancelled,status_not_paid_or_completed
O0053,C047,P003,2026-08-02,1,503.9,5,pending,status_not_paid_or_completed
O0055,C018,P011,2026-08-02,3,1236.35,0,pending,status_not_paid_or_completed
O0058,C040,P002,2026-08-02,2,757.5,10,pending,status_not_paid_or_completed
O0060,C017,P005,2026-08-02,3,1299.0,10,cancelled,status_not_paid_or_completed
